,Object,Custom_LineNum
0,DocuSign,1.0
1,Envelope,1.0
2,ID:,1.0
3,404E9CE9-2039-44A3-8531-70005D3C7ADD,1.0
4,Ln,2.0
5,#,2.0
6,Qty,2.0
7,Mfg.,2.0
8,Part,2.0
9,Number,2.0
10,Description,2.0
11,SN,2.0
12,Unit,2.0
13,Price,2.0
14,Ext.,2.0
15,Price,2.0
16,POP:,3.0
17,07/22/2020-07/21/2021,3.0
18,USE2225MJA,4.0
19,13,5.0
20,1,5.0
21,PPHM,5.0
22,ProLiant,5.0
23,DL580,5.0
24,G7,5.0
25,CTO,5.0
26,USE2225MJ7,5.0
27,"$1,163.51",5.0
28,"$1,163.51",5.0
29,Chassis,6.0
30,-,6.0
31,ParkView,6.0
32,Support,6.0
33,ParkView,7.0
34,Hardware,7.0
35,Monitoring,7.0
36,~,7.0
37,x86,8.0
38,Server,8.0
39,SLA,9.0
40,7x24x4,9.0
41,POP:,10.0
42,07/22/2020-07/21/2021,10.0
43,14,11.0
44,1,11.0
45,PPHM,11.0
46,ProLiant,11.0
47,DL380p,11.0
48,G8,11.0
49,CTO,11.0
50,8SFF,11.0
51,USE2246FBN,11.0
52,$700.65,11.0
53,$700.65,11.0
54,Chassis,12.0
55,-,12.0
56,ParkView,12.0
57,Support,12.0
58,ParkView,13.0
59,Hardware,13.0
60,Monitoring,13.0
61,-,13.0
62,x86,14.0
63,Server,14.0
64,SLA,15.0
65,7x24x4,15.0
66,POP:,16.0
67,07/22/2020-07/21/2021,16.0
68,15,17.0
69,1,17.0
70,PPHM,17.0
71,ProLiant,17.0
72,DL380p,17.0
73,G8,17.0
74,CTO,17.0
75,8SFF,17.0
76,2M234002JY,17.0
77,$700.65,17.0
78,$700.65,17.0
79,Chassis,18.0
80,-,18.0
81,ParkView,18.0
82,Support,18.0
83,ParkView,19.0
84,Hardware,19.0
85,Monitoring,19.0
86,-,19.0
87,x86,20.0
88,Server,20.0
89,SLA,21.0
90,7x24x4,21.0
91,POP:,22.0
92,07/22/2020-07/21/2021,22.0
93,16,23.0
94,1,23.0
95,PPHM,23.0
96,ProLiant,23.0
97,DL580,23.0
98,G7,23.0
99,E5645,23.0
100,2P,23.0
101,2M231000P2,23.0
102,$872.94,23.0
103,$872.94,23.0
104,US,24.0
105,Server,24.0
106,-,24.0
107,ParkView,24.0
108,Support,24.0
109,ParkView,25.0
110,Hardware,25.0
111,Monitoring,25.0
112,-,25.0
113,x86,26.0
114,Server,26.0
115,SLA,27.0
116,7x24x4,27.0
117,POP:,28.0
118,07/22/2020-07/21/2021,28.0
119,17,29.0
120,1,29.0
121,PPHM,29.0
122,ProLiant,29.0
123,DL380p,29.0
124,G8,29.0
125,CTO,29.0
126,8SFF,29.0
127,2M2323050C,29.0
128,$700.65,29.0
129,$700.65,29.0
130,Chassis,30.0
131,-,30.0
132,ParkView,30.0
133,Support,30.0
134,ParkView,31.0
135,Hardware,31.0
136,Monitoring,31.0
137,~,31.0
138,x86,32.0
139,Server,32.0
140,SLA,33.0
141,7x24x4,33.0
142,POP:,34.0
143,07/22/2020-07/21/2021,34.0
144,18,35.0
145,1,35.0
146,PPHM,35.0
147,ProLiant,35.0
148,DL380p,35.0
149,G8,35.0
150,CTO,35.0
151,8SFF,35.0
152,$602.69,35.0
153,$602.69,35.0
154,Chassis,36.0
155,-,36.0
156,ParkView,36.0
157,Support,36.0
158,19,37.0
159,1,37.0
160,PPHM,37.0
161,ProLiant,37.0
162,DL380p,37.0
163,G8,37.0
164,CTO,37.0
165,8SFF,37.0
166,2M252302P3,37.0
167,$700.65,37.0
168,$700.65,37.0
169,Chassis,38.0
170,-,38.0
171,ParkView,38.0
172,Support,38.0
173,ParkView,39.0
174,Hardware,39.0
175,Monitoring,39.0
176,-,39.0
177,x86,40.0
178,Server,40.0
179,SLA,41.0
180,7x24x4,41.0
181,POP:,42.0
182,07/22/2020-07/21/2021,42.0
183,20,43.0
184,1,43.0
185,PPHM,43.0
186,ProLiant,43.0
187,DL380p,43.0
188,G8,43.0
189,CTO,43.0
190,8SFF,43.0
191,$700.65,43.0
192,$700.65,43.0
193,Chassis,44.0
194,-,44.0
195,ParkView,44.0
196,Support,44.0
197,ParkView,45.0
198,Hardware,45.0
199,Monitoring,45.0
200,x86,46.0
201,Server,46.0
202,SLA,47.0
203,7x24x4,47.0
204,REMIT,48.0
205,CHECK,48.0
206,BY/TO:,48.0
207,WIRE,48.0
208,TRANSFER:,48.0
209,DUE,49.0
210,UPON,49.0
211,RECEIPT,49.0
212,Routing/ABA,49.0
213,#,49.0
214,026009593,49.0
215,CAS,50.0
216,"Severn,",50.0
217,Inc.,50.0
218,OR,50.0
219,Account,50.0
220,#25-6501-8405,50.0
221,6201,51.0
222,Chevy,51.0
223,Chase,51.0
224,Drive,51.0
225,"Laurel,",52.0
226,MD,52.0
227,20707,52.0
228,ACH,52.0
229,TRANSFER:,52.0
230,Routing/ABA#052001633,53.0
231,Account,54.0
232,#25-6501-8405,54.0
233,3,55.0
234,of,55.0
235,5,55.0
