,Object,Custom_LineNum
0,OCT,1.0
1,12,1.0
2,2022,1.0
3,CHAPMAN/LEONARD,2.0
4,Studio,2.0
5,"Equipment,",2.0
6,Inc.,2.0
7,INVOICE:,2.0
8,26734-13-1,2.0
9,PAGE:,3.0
10,3,3.0
11,of,3.0
12,3,3.0
13,12950,3.0
14,Raymer,3.0
15,"Street,",3.0
16,North,3.0
17,"Hollywood,",3.0
18,CA,3.0
19,91605,3.0
20,DATE:,3.0
21,10/05/2022,3.0
22,(888),4.0
23,883-6559,4.0
24,or,4.0
25,(818),4.0
26,764-6726,4.0
27,AMOUNT:,4.0
28,$369.69,4.0
29,www.chopman-lenard.com,5.0
30,LINE,6.0
31,QTY,6.0
32,ITEM,6.0
33,DESCRIPTION,6.0
34,WEEKLY,6.0
35,AMOUNT,6.0
36,PNEUM,7.0
37,"TIRE,",7.0
38,PW-SPW,7.0
39,IV,7.0
40,SET,7.0
41,(8),7.0
42,71.25,7.0
43,$23.75,7.0
44,0019,7.0
45,1,7.0
46,01352,7.0
47,Start,8.0
48,10/01/2022,8.0
49,09:00,8.0
50,AM,8.0
51,Returned:,8.0
52,10/04/2022,8.0
53,09:00,8.0
54,AM,8.0
55,Billing,9.0
56,10/01/2022,9.0
57,09:00,9.0
58,AM,9.0
59,Thru,9.0
60,10/04/2022,9.0
61,09:00,9.0
62,AM,9.0
63,1,10.0
64,Day,10.0
65,e,10.0
66,(71.25,10.0
67,/,10.0
68,3),10.0
69,-,10.0
70,$23.75,10.0
71,0020,11.0
72,1,11.0
73,07548,11.0
74,ACCESSORY,11.0
75,CART.,11.0
76,SPW,11.0
77,32.25,11.0
78,$10.75,11.0
79,Start,12.0
80,10/01/2022,12.0
81,09:00,12.0
82,AM,12.0
83,Returned:,12.0
84,10/04/2022,12.0
85,09:00,12.0
86,AM,12.0
87,Billing,13.0
88,10/01/2022,13.0
89,09:00,13.0
90,AM,13.0
91,Thru,13.0
92,10/04/2022,13.0
93,09:00,13.0
94,AM,13.0
95,1,14.0
96,Day,14.0
97,e,14.0
98,(32.25,14.0
99,/,14.0
100,3),14.0
101,-,14.0
102,$10.75,14.0
103,UPM,15.0
104,ACCT,15.0
105,MATCHES,15.0
106,PO,15.0
107,PROD,16.0
108,DEPT,17.0
109,HEAD,18.0
110,Mr,18.0
111,POP,18.0
112,208,18.0
113,PALD,18.0
114,1099,19.0
115,INS,19.0
116,TRANS,19.0
117,4210,19.0
118,#,19.0
119,close,19.0
120,P.O.,19.0
121,164:5985.GS,19.0
122,1001-1004_SUPER,20.0
123,PEEWEE,20.0
124,DOLLY-GRIP,20.0
125,SUB-TTL,21.0
126,$345.50,21.0
127,MAKE,22.0
128,CHECKS,22.0
129,AND/OR,22.0
130,WIRE,22.0
131,TRANSFERS,22.0
132,PAYABLE,22.0
133,IN,22.0
134,us,22.0
135,DOLLARS,22.0
136,TAX,22.0
137,RTE,22.0
138,7.00%,22.0
139,TTL,23.0
140,TAX,23.0
141,$24.19,23.0
142,CHAPMAN/LEONARD,24.0
143,STUDIO,24.0
144,"EQUIPMENT,",24.0
145,INC.,24.0
146,REMIT,24.0
147,TO:,24.0
148,File,24.0
149,"2448,",24.0
150,1801,24.0
151,W.,24.0
152,Olympic,24.0
153,Blvd.,24.0
154,BAL,24.0
155,DUE,24.0
156,$369.69,24.0
157,"Pasadena,",25.0
158,CA,25.0
159,91199-2448,25.0
